id,match,match_label,set,set_label,clue,solution,right,wrong,right_team,right_team_label,wrong_team,wrong_team_label,#
1,1,S01E01: Lapsed Psychologists [18 | 12] Knitters,1,Dishes made using eggs,MRN G,MERINGUE,"[4,5]",[],2,Knitters,,,1
1066,67,S05E08: Rock'n'rollers [9 | 29] Trade Unionists,295,Items collected in 'Blue Peter' appeals,SDC LTH NG,USED CLOTHING,[225],[],80,Trade Unionists,,,3
1067,67,S05E08: Rock'n'rollers [9 | 29] Trade Unionists,295,Items collected in 'Blue Peter' appeals,J NKM L,JUNK MAIL,[223],[],79,Rock'n'rollers,,,4
1068,67,S05E08: Rock'n'rollers [9 | 29] Trade Unionists,296,Major League Baseball teams,CH CGW H TSX,CHICAGO WHITE SOX,[225],[],80,Trade Unionists,,,1
1069,67,S05E08: Rock'n'rollers [9 | 29] Trade Unionists,296,Major League Baseball teams,TLN TBR VS,ATLANTA BRAVES,[225],[],80,Trade Unionists,,,2
1070,67,S05E08: Rock'n'rollers [9 | 29] Trade Unionists,296,Major League Baseball teams,HS TNS TRS,HOUSTON ASTROS,[222],[],79,Rock'n'rollers,,,3
1071,67,S05E08: Rock'n'rollers [9 | 29] Trade Unionists,296,Major League Baseball teams,NWY RKY NKS,NEW YORK YANKEES,[],[],,,,,4
1072,68,S05E09: Social Networkers [11 | 12] Antiquarians,297,Rival factions,CV LR SN DR NDH DS,CAVALIERS AND ROUNDHEADS,[181],[],65,Social Networkers,,,1
1073,68,S05E09: Social Networkers [11 | 12] Antiquarians,297,Rival factions,B LD SNDC RPS,BLOODS AND CRIPS,[],[],,,,,2
1074,68,S05E09: Social Networkers [11 | 12] Antiquarians,297,Rival factions,TBT SNDD CPT CN S,AUTOBOTS AND DECEPTICONS,[207],[],74,Antiquarians,,,3
1075,68,S05E09: Social Networkers [11 | 12] Antiquarians,297,Rival factions,TM DWR DNDT MJ CB,TEAM EDWARD AND TEAM JACOB,[],[],,,,,4
1076,68,S05E09: Social Networkers [11 | 12] Antiquarians,298,Mathematical curves,LLPS,ELLIPSE,[181],[],65,Social Networkers,,,1
1077,68,S05E09: Social Networkers [11 | 12] Antiquarians,298,Mathematical curves,CR DD,CARDIOID,[],[],,,,,2
1078,68,S05E09: Social Networkers [11 | 12] Antiquarians,298,Mathematical curves,LM NSC T,LEMNISCATE,[],[],,,,,3
1079,68,S05E09: Social Networkers [11 | 12] Antiquarians,298,Mathematical curves,QNGL RS PRL,EQUIANGULAR SPIRAL,[],[],,,,,4
1080,68,S05E09: Social Networkers [11 | 12] Antiquarians,299,Things you can insure against,CRT H FT,CAR THEFT,[207],[],74,Antiquarians,,,1
1081,68,S05E09: Social Networkers [11 | 12] Antiquarians,299,Things you can insure against,CN CL LDW DDN G,CANCELLED WEDDING,[],[],,,,,2
1082,69,S05E10: Listeners [16 | 13] Rowers,300,Geological processes,RSN,EROSION,[209],[],75,Listeners,,,1
1083,69,S05E10: Listeners [16 | 13] Rowers,300,Geological processes,C NT NNT LDR FT,CONTINENTAL DRIFT,[215],[],77,Rowers,,,2
1084,69,S05E10: Listeners [16 | 13] Rowers,300,Geological processes,DG NSS,DIAGENESIS,[],[],,,,,3
1085,69,S05E10: Listeners [16 | 13] Rowers,300,Geological processes,LT HFC TN,LITHIFACTION,[211],[],75,Listeners,,,4
1086,69,S05E10: Listeners [16 | 13] Rowers,301,They married royalty,MRN TN TT,MARIE ANTOINETTE,[216],[],77,Rowers,,,1
1087,69,S05E10: Listeners [16 | 13] Rowers,301,They married royalty,NF RTT,NEFERTITI,[209],[],75,Listeners,,,2
1088,69,S05E10: Listeners [16 | 13] Rowers,301,They married royalty,LSHL BY,LISA HALABY,[],[],,,,,3
1089,69,S05E10: Listeners [16 | 13] Rowers,301,They married royalty,WL LSS MP SN,WALLIS SIMPSON,[216],[],77,Rowers,,,4
1090,69,S05E10: Listeners [16 | 13] Rowers,302,The song title isn't in its lyrics,THB LL DFJ HNND YK,THE BALLAD OF JOHN AND YOKO,[209],[],75,Listeners,,,1
1091,69,S05E10: Listeners [16 | 13] Rowers,302,The song title isn't in its lyrics,V VLV D,VIVA LA VIDA,[215],[],77,Rowers,,,2
1092,69,S05E10: Listeners [16 | 13] Rowers,302,The song title isn't in its lyrics,FL RS CNTD LSC NT,FLUORESCENT ADOLESCENT,[215],[210],77,Rowers,75,Listeners,3
1093,69,S05E10: Listeners [16 | 13] Rowers,302,The song title isn't in its lyrics,SM LL SL KT NSPR T,SMELLS LIKE TEEN SPIRIT,[],[],,,,,4
1094,70,S05E11: Edwards Family [20 | 22] Trade Unionists,303,Bildungsroman novels,SNSN DLV RS,SONS AND LOVERS,[187],[],67,Edwards Family,,,1
1095,70,S05E11: Edwards Family [20 | 22] Trade Unionists,303,Bildungsroman novels,NNF G RNG BL S,ANNE OF GREEN GABLES,[187],[],67,Edwards Family,,,2
1096,70,S05E11: Edwards Family [20 | 22] Trade Unionists,303,Bildungsroman novels,RNG SR NTT HN LYFR T,ORANGES ARE NOT THE ONLY FRUIT,[],[],,,,,3
1097,70,S05E11: Edwards Family [20 | 22] Trade Unionists,303,Bildungsroman novels,BL C KSW NG RN,BLACK SWAN GREEN,[226],[186],80,Trade Unionists,67,Edwards Family,4
1098,70,S05E11: Edwards Family [20 | 22] Trade Unionists,304,Sir Christopher Wren buildings,RY LBS R VTR Y,ROYAL OBSERVATORY,[187],[],67,Edwards Family,,,1
1099,70,S05E11: Edwards Family [20 | 22] Trade Unionists,304,Sir Christopher Wren buildings,SH LD NNT HTR,SHELDONIAN THEATRE,[185],[],67,Edwards Family,,,2
1100,70,S05E11: Edwards Family [20 | 22] Trade Unionists,304,Sir Christopher Wren buildings,THM N MNT,THE MONUMENT,[225],[],80,Trade Unionists,,,3
1101,70,S05E11: Edwards Family [20 | 22] Trade Unionists,304,Sir Christopher Wren buildings,R YLH SP TLC H LS,ROYAL HOSPITAL CHELSEA,[187],[],67,Edwards Family,,,4
1102,70,S05E11: Edwards Family [20 | 22] Trade Unionists,305,Added to the 2011 'Basket of Goods',HRC N DTNR,HAIR CONDITIONER,[187],[],67,Edwards Family,,,1
1103,70,S05E11: Edwards Family [20 | 22] Trade Unionists,305,Added to the 2011 'Basket of Goods',MD MDNST YF BRB RD,MEDIUM DENSITY FIBREBOARD,[],[],,,,,2
1104,70,S05E11: Edwards Family [20 | 22] Trade Unionists,305,Added to the 2011 'Basket of Goods',VNR D YJN T,OVEN-READY JOINT,[],[],,,,,3
1105,70,S05E11: Edwards Family [20 | 22] Trade Unionists,305,Added to the 2011 'Basket of Goods',SM R TPH NHN DST,SMART PHONE HANDSET,[],[],,,,,4
1106,70,S05E11: Edwards Family [20 | 22] Trade Unionists,306,Colloquial names for plants,RD HTP KR,RED HOT POKER,[225],[],80,Trade Unionists,,,1
1107,70,S05E11: Edwards Family [20 | 22] Trade Unionists,306,Colloquial names for plants,BB Y SBRT H,BABY'S BREATH,[187],[],67,Edwards Family,,,2
1108,70,S05E11: Edwards Family [20 | 22] Trade Unionists,306,Colloquial names for plants,M THR NL W STNG,MOTHER-IN-LAW'S TONGUE,[187],[],67,Edwards Family,,,3
1109,70,S05E11: Edwards Family [20 | 22] Trade Unionists,306,Colloquial names for plants,BR DFPR DS,BIRD-OF-PARADISE,[],[],,,,,4
1110,71,S05E12: Analysts [19 | 18] Technologists,307,Amphibians,G NTS LM NDR,GIANT SALAMANDER,[201],[],72,Technologists,,,1
1111,71,S05E12: Analysts [19 | 18] Technologists,307,Amphibians,H RNDT D,HORNED TOAD,[201],[],72,Technologists,,,2
1112,71,S05E12: Analysts [19 | 18] Technologists,307,Amphibians,XL TL,AXOLOTL,[201],[],72,Technologists,,,3
1113,71,S05E12: Analysts [19 | 18] Technologists,307,Amphibians,PS NRR WF RG,POISON-ARROW FROG,[201],[],72,Technologists,,,4
1114,71,S05E12: Analysts [19 | 18] Technologists,308,Lines from 'God Save the Queen',LN GTRG NVR S,LONG TO REIGN OVER US,[193],[],69,Analysts,,,1
1115,71,S05E12: Analysts [19 | 18] Technologists,308,Lines from 'God Save the Queen',TH YC HCSTG FT SNSTR,THY CHOICEST GIFTS IN STORE,[192],[],69,Analysts,,,2
1116,71,S05E12: Analysts [19 | 18] Technologists,308,Lines from 'God Save the Queen',MY SHD FND RL WS,MAY SHE DEFEND OUR LAWS,[200],[],72,Technologists,,,3
1117,71,S05E12: Analysts [19 | 18] Technologists,308,Lines from 'God Save the Queen',SN DHRV CT RS,SEND HER VICTORIOUS,[193],[],69,Analysts,,,4
1118,71,S05E12: Analysts [19 | 18] Technologists,309,Lipids,ST,SUET,[],[201],,,72,Technologists,1
1119,71,S05E12: Analysts [19 | 18] Technologists,309,Lipids,GH,GHEE,[193],[],69,Analysts,,,2
1120,71,S05E12: Analysts [19 | 18] Technologists,309,Lipids,LVL,OLIVE OIL,[201],[],72,Technologists,,,3
1121,71,S05E12: Analysts [19 | 18] Technologists,309,Lipids,LNLN,LANOLIN,[201],[],72,Technologists,,,4
1122,71,S05E12: Analysts [19 | 18] Technologists,310,Autobiographies published in 2010,DC SNP NTS,DECISION POINTS,[193],[],69,Analysts,,,1
1123,71,S05E12: Analysts [19 | 18] Technologists,310,Autobiographies published in 2010,M MRSFF RT CK,MEMOIRS OF A FRUITCAKE,[],[],,,,,2
1124,71,S05E12: Analysts [19 | 18] Technologists,310,Autobiographies published in 2010,CN FSSNSF CN JRR,CONFESSIONS OF A CONJUROR,[201],[],72,Technologists,,,3
1125,72,S05E13: Listeners [18 | 19] Antiquarians,311,Operas that premièred in Paris,DNPS QL,DON PASQUALE,[207],[],74,Antiquarians,,,1
1126,72,S05E13: Listeners [18 | 19] Antiquarians,311,Operas that premièred in Paris,PL LSTM LS ND,PELLEAS ET MELISANDE,[210],[],75,Listeners,,,2
1127,72,S05E13: Listeners [18 | 19] Antiquarians,311,Operas that premièred in Paris,LSTR YNS,LES TROYENS,[],[],,,,,3
1128,72,S05E13: Listeners [18 | 19] Antiquarians,311,Operas that premièred in Paris,LKM,LAKMÉ,[210],[],75,Listeners,,,4
1129,72,S05E13: Listeners [18 | 19] Antiquarians,312,Wartime poster slogans,Y RCNTR YN DS Y,YOUR COUNTRY NEEDS YOU,[211],[],75,Listeners,,,1
1130,72,S05E13: Listeners [18 | 19] Antiquarians,312,Wartime poster slogans,CR LS STL K CS TSL VS,CARELESS TALK COSTS LIVES,[210],[],75,Listeners,,,2
1131,72,S05E13: Listeners [18 | 19] Antiquarians,312,Wartime poster slogans,SYR JRN YRL LYN CS SRY,IS YOUR JOURNEY REALLY NECESSARY?,[209],[],75,Listeners,,,3
1132,72,S05E13: Listeners [18 | 19] Antiquarians,312,Wartime poster slogans,DGF RVCT R Y,DIG FOR VICTORY,[207],[],74,Antiquarians,,,4
1133,72,S05E13: Listeners [18 | 19] Antiquarians,313,Female protagonists in literature,FN NYP RC,FANNY PRICE,[210],[],75,Listeners,,,1
1134,72,S05E13: Listeners [18 | 19] Antiquarians,313,Female protagonists in literature,LR LL,LORELEI LEE,[],[210],,,75,Listeners,2
1135,72,S05E13: Listeners [18 | 19] Antiquarians,313,Female protagonists in literature,NTN TTC SWY,ANTOINETTE COSWAY,[],[],,,,,3
1136,72,S05E13: Listeners [18 | 19] Antiquarians,313,Female protagonists in literature,L ZDL TTL,ELIZA DOOLITTLE,[207],[],74,Antiquarians,,,4
1137,72,S05E13: Listeners [18 | 19] Antiquarians,314,Metric units and what they measure,HR TZN DF RQNC Y,HERTZ AND FREQUENCY,[],[209],,,75,Listeners,1
1138,73,S00E06: Great Believers [16 | 20] Free Speakers,315,Famous film quotations,CLD BN CN TNDR,I COULDA BEEN A CONTENDER,[228],[],81,Great Believers,,,1
1139,73,S00E06: Great Believers [16 | 20] Free Speakers,315,Famous film quotations,TP HNH M,E.T. PHONE HOME,[],[231],,,82,Free Speakers,2
1140,73,S00E06: Great Believers [16 | 20] Free Speakers,315,Famous film quotations,SDD PPL,I SEE DEAD PEOPLE,[],[],,,,,3
1141,73,S00E06: Great Believers [16 | 20] Free Speakers,315,Famous film quotations,HS TNW HVP RBL M,"HOUSTON, WE HAVE A PROBLEM","[231,232]",[],82,Free Speakers,,,4
1142,73,S00E06: Great Believers [16 | 20] Free Speakers,316,Carcinogenic according to 'The Daily Mail',G RPF RT,GRAPEFRUIT,[231],[],82,Free Speakers,,,1
1143,73,S00E06: Great Believers [16 | 20] Free Speakers,316,Carcinogenic according to 'The Daily Mail',L FTH NDD NSS,LEFT-HANDEDNESS,[228],[],81,Great Believers,,,2
1144,73,S00E06: Great Believers [16 | 20] Free Speakers,316,Carcinogenic according to 'The Daily Mail',TL LRCP TS,TILL RECEIPTS,[231],[],82,Free Speakers,,,3
1145,73,S00E06: Great Believers [16 | 20] Free Speakers,316,Carcinogenic according to 'The Daily Mail',FCB K,FACEBOOK,[228],[],81,Great Believers,,,4
1146,73,S00E06: Great Believers [16 | 20] Free Speakers,317,No. 1 singles that begin with parentheses,(CNT GTN) STSF CTN,(I CAN'T GET NO) SATISFACTION,[231],[],82,Free Speakers,,,1
1147,73,S00E06: Great Believers [16 | 20] Free Speakers,317,No. 1 singles that begin with parentheses,(J STLK) STR TNGV R,(JUST LIKE) STARTING OVER,[],[],,,,,2
1148,74,S05E14: Analysts [22 | 20] Trade Unionists,318,They have airports named after them,LS RMS TR NG,LOUIS ARMSTRONG,[192],[],69,Analysts,,,1
1149,74,S05E14: Analysts [22 | 20] Trade Unionists,318,They have airports named after them,L CHW LS,LECH WALESA,[192],[],69,Analysts,,,2
1150,74,S05E14: Analysts [22 | 20] Trade Unionists,318,They have airports named after them,Q NBT RX,QUEEN BEATRIX,[225],[],80,Trade Unionists,,,3
1151,74,S05E14: Analysts [22 | 20] Trade Unionists,318,They have airports named after them,Y TL LHK HMN,AYATOLLAH KHOMEINI,[],[],,,,,4
1152,74,S05E14: Analysts [22 | 20] Trade Unionists,319,French names for the Mr Men,M NS RBZR R,MONSIEUR BIZARRE (MR. NONSENSE),[192],[],69,Analysts,,,1
1153,74,S05E14: Analysts [22 | 20] Trade Unionists,319,French names for the Mr Men,M NS RCR X,MONSIEUR CURIEUX (MR. NOSEY),[],[225],,,80,Trade Unionists,2
1154,74,S05E14: Analysts [22 | 20] Trade Unionists,319,French names for the Mr Men,MN SRN CR YBL,MONSIEUR INCROYABLE (MR. IMPOSSIBLE),[224],[],80,Trade Unionists,,,3
1155,74,S05E14: Analysts [22 | 20] Trade Unionists,319,French names for the Mr Men,M NSR NN,MONSIEUR NON (MR. NO),[192],[],69,Analysts,,,4
1156,74,S05E14: Analysts [22 | 20] Trade Unionists,320,Game show catchphrases,WH TS HTS P TNT,WHAT IS A HOT SPOT NOT?,[],[],,,,,1
1157,74,S05E14: Analysts [22 | 20] Trade Unionists,320,Game show catchphrases,BTW D NTW N TTG VYT HT,BUT WE DON'T WANT TO GIVE YOU THAT!,[],[],,,,,2
1158,74,S05E14: Analysts [22 | 20] Trade Unionists,320,Game show catchphrases,BR N THB LT,"BERNIE, THE BOLT",[224],[],80,Trade Unionists,,,3
1159,74,S05E14: Analysts [22 | 20] Trade Unionists,320,Game show catchphrases,KPD NCN G,KEEP DANCING!,[225],[],80,Trade Unionists,,,4
1160,74,S05E14: Analysts [22 | 20] Trade Unionists,321,Air pollutants,ZN,OZONE,[225],[],80,Trade Unionists,,,1
1161,74,S05E14: Analysts [22 | 20] Trade Unionists,321,Air pollutants,CG RT TSM K,CIGARETTE SMOKE,[224],[],80,Trade Unionists,,,2
1162,75,S05E15: Listeners [19 | 22] Trade Unionists,322,Famous roads in the US,BR DWY,BROADWAY,[225],[],80,Trade Unionists,,,1
1163,75,S05E15: Listeners [19 | 22] Trade Unionists,322,Famous roads in the US,R DDR VE,RODEO DRIVE,[210],[],75,Listeners,,,2
1164,75,S05E15: Listeners [19 | 22] Trade Unionists,322,Famous roads in the US,P CH TRS TRT,PEACHTREE STREET,[],[],,,,,3
1165,75,S05E15: Listeners [19 | 22] Trade Unionists,322,Famous roads in the US,SN S TB LV RD,SUNSET BOULEVARD,[209],[],75,Listeners,,,4
1166,75,S05E15: Listeners [19 | 22] Trade Unionists,323,Words with five identical vowels,BKP R,BEEKEEPER,[210],[],75,Listeners,,,1
1167,75,S05E15: Listeners [19 | 22] Trade Unionists,323,Words with five identical vowels,BRC DBR,ABRACADABRA,[225],[],80,Trade Unionists,,,2
1168,75,S05E15: Listeners [19 | 22] Trade Unionists,323,Words with five identical vowels,PRTZ LGY,PROTOZOOLOGY,[211],[],75,Listeners,,,3
1169,75,S05E15: Listeners [19 | 22] Trade Unionists,323,Words with five identical vowels,NVS BLTY,INVISIBILITY,[224],[],80,Trade Unionists,,,4
1170,75,S05E15: Listeners [19 | 22] Trade Unionists,324,Movie spoilers,R SBDW SH SSL D,ROSEBUD WAS HIS SLED,[225],[],80,Trade Unionists,,,1
1171,75,S05E15: Listeners [19 | 22] Trade Unionists,324,Movie spoilers,DR THV DR SL KSFT HR,DARTH VADER IS LUKE'S FATHER,[209],[],75,Listeners,,,2
1172,75,S05E15: Listeners [19 | 22] Trade Unionists,324,Movie spoilers,D LSM N,DIL IS A MAN,[],[],,,,,3
1173,75,S05E15: Listeners [19 | 22] Trade Unionists,324,Movie spoilers,S YL NTGR NSPP L,SOYLENT GREEN IS PEOPLE,[],[],,,,,4
1174,76,S05E16: Analysts [25 | 14] Antiquarians,325,Oxymorons,DF NTM YB,DEFINITE MAYBE,[192],[],69,Analysts,,,1
1175,76,S05E16: Analysts [25 | 14] Antiquarians,325,Oxymorons,P NSCR T,OPEN SECRET,[193],[],69,Analysts,,,2
1176,76,S05E16: Analysts [25 | 14] Antiquarians,325,Oxymorons,R SDN TLN,RESIDENT ALIEN,[193],[],69,Analysts,,,3
1177,76,S05E16: Analysts [25 | 14] Antiquarians,325,Oxymorons,XC TST MT,EXACT ESTIMATE,[],[],,,,,4
1178,76,S05E16: Analysts [25 | 14] Antiquarians,326,Strategies,QN SCR FC,QUEEN SACRIFICE,[191],[],69,Analysts,,,1
1179,76,S05E16: Analysts [25 | 14] Antiquarians,326,Strategies,MT LSS RDD STRC TN,MUTUAL ASSURED DESTRUCTION,[192],[],69,Analysts,,,2
1180,76,S05E16: Analysts [25 | 14] Antiquarians,326,Strategies,C TYC HS,"I CUT, YOU CHOOSE",[],[],,,,,3
1181,76,S05E16: Analysts [25 | 14] Antiquarians,326,Strategies,FNT,FEINT,[193],[],69,Analysts,,,4
1182,76,S05E16: Analysts [25 | 14] Antiquarians,327,15-letter words,NT RP RNRL,ENTREPRENEURIAL,[192],[],69,Analysts,,,1
1183,76,S05E16: Analysts [25 | 14] Antiquarians,327,15-letter words,PH TH LMLG ST,OPHTHALMOLOGIST,[192],[],69,Analysts,,,2
1184,76,S05E16: Analysts [25 | 14] Antiquarians,327,15-letter words,NS CRT NBL,UNASCERTAINABLE,[],[],,,,,3
1185,79,S00E09: Epicureans [14 | 15] Crossworders,328,They begin with three vowels,LNH RP,AEOLIAN HARP,[7],[],25,Crossworders,,,1
1186,79,S00E09: Epicureans [14 | 15] Crossworders,328,They begin with three vowels,DCL GN,EAU DE COLOGNE,[],[],,,,,2
1187,79,S00E09: Epicureans [14 | 15] Crossworders,328,They begin with three vowels,JB RD,OUIJA BOARD,[121],[],61,Epicureans,,,3
1188,79,S00E09: Epicureans [14 | 15] Crossworders,328,They begin with three vowels,L,AIOLI,[123],[],61,Epicureans,,,4
1189,79,S00E09: Epicureans [14 | 15] Crossworders,329,Two film titles merged together,TH L NK NGK NG,THE LION KING KONG,[121],[8],61,Epicureans,25,Crossworders,1
1190,79,S00E09: Epicureans [14 | 15] Crossworders,329,Two film titles merged together,THP LCN BR FNCN TR,THE PELICAN BRIEF ENCOUNTER,"[121,122]",[],61,Epicureans,,,2
1191,79,S00E09: Epicureans [14 | 15] Crossworders,329,Two film titles merged together,TH RSS MTH NG BTMR Y PPP NS,THERE'S SOMETHING ABOUT MARY POPPINS,"[121,123]",[],61,Epicureans,,,3
1192,79,S00E09: Epicureans [14 | 15] Crossworders,329,Two film titles merged together,TSW N DRFL LF FBR N,IT'S A WONDERFUL LIFE OF BRIAN,"[122,123]",[],61,Epicureans,,,4
1193,79,S00E09: Epicureans [14 | 15] Crossworders,330,Major football venues,THG BB,THE GABBA,[121],[],61,Epicureans,,,1
1194,79,S00E09: Epicureans [14 | 15] Crossworders,330,Major football venues,LS NS PR DM,LOUISIANA SUPERDOME,[],[],,,,,2
1195,79,S00E09: Epicureans [14 | 15] Crossworders,330,Major football venues,DS LS TD M,ODSAL STADIUM,[],[],,,,,3
1196,80,S00E10: Crossworders [29 | 10] Masterminders,331,Types of glass,S DLM,SODA LIME,[],[],,,,,1
1197,80,S00E10: Crossworders [29 | 10] Masterminders,331,Types of glass,B SDN,OBSIDIAN,[8],[],25,Crossworders,,,2
1198,80,S00E10: Crossworders [29 | 10] Masterminders,331,Types of glass,MSS LN,MOUSSELINE,[],[],,,,,3
1199,80,S00E10: Crossworders [29 | 10] Masterminders,331,Types of glass,QRTZ,QUARTZ,[8],[],25,Crossworders,,,4
1200,80,S00E10: Crossworders [29 | 10] Masterminders,332,Occasions when the National Anthem is played,RM MB R NCDY,REMEMBRANCE DAY,[7],[],25,Crossworders,,,1
1201,80,S00E10: Crossworders [29 | 10] Masterminders,332,Occasions when the National Anthem is played,NGL N DFT BLLM TCHS,ENGLAND FOOTBALL MATCHES,[234],[],83,Masterminders,,,2
1202,80,S00E10: Crossworders [29 | 10] Masterminders,332,Occasions when the National Anthem is played,CLS DW NNRD FR,CLOSEDOWN ON RADIO FOUR,[234],[8],83,Masterminders,25,Crossworders,3
1203,80,S00E10: Crossworders [29 | 10] Masterminders,332,Occasions when the National Anthem is played,RY LVR T YPRF RM NC,ROYAL VARIETY PERFORMANCE,[233],[],83,Masterminders,,,4
1204,80,S00E10: Crossworders [29 | 10] Masterminders,333,Famous signoffs,GD NG HTC HL DRNV RYW HR,"GOODNIGHT CHILDREN, EVERYWHERE",[8],[],25,Crossworders,,,1
1205,80,S00E10: Crossworders [29 | 10] Masterminders,333,Famous signoffs,M YYR GDG WTH Y,MAY YOUR GOD GO WITH YOU,[233],[],83,Masterminders,,,2
1206,80,S00E10: Crossworders [29 | 10] Masterminders,333,Famous signoffs,DN TH VNG HT MR SDS LPWL L,"DON'T HAVE NIGHTMARES, DO SLEEP WELL",[8],[],25,Crossworders,,,3
1207,80,S00E10: Crossworders [29 | 10] Masterminders,333,Famous signoffs,ND TSG DNGH TFR MHMG DNG HT,"AND IT'S GOODNIGHT FROM HIM, GOODNIGHT!",[],[233],,,83,Masterminders,4
1208,83,S00E13: Cutters [28 | 20] Backhanders,334,Things you can't sell on eBay,SW SSRM YKN VS,SWISS ARMY KNIVES,[228],[],84,Cutters,,,1
1209,83,S00E13: Cutters [28 | 20] Backhanders,334,Things you can't sell on eBay,PR TYP PPR S,PARTY POPPERS,[239],[],85,Backhanders,,,2
1210,83,S00E13: Cutters [28 | 20] Backhanders,334,Things you can't sell on eBay,RW DP LTD RNM,RAW DEPLETED URANIUM,[231],[],85,Backhanders,,,3
1211,83,S00E13: Cutters [28 | 20] Backhanders,334,Things you can't sell on eBay,CN TC TL NSS,CONTACT LENSES,[237],[],84,Cutters,,,4
1212,83,S00E13: Cutters [28 | 20] Backhanders,335,Alan Partridge's format ideas,CKN GNP RSN,COOKING IN PRISON,[],[],,,,,1
1213,83,S00E13: Cutters [28 | 20] Backhanders,335,Alan Partridge's format ideas,RMW RS TL NGW THC HSN D DV,ARM WRESTLING WITH CHAS AND DAVE,[228],[],84,Cutters,,,2
1214,83,S00E13: Cutters [28 | 20] Backhanders,335,Alan Partridge's format ideas,NN RCT YSM,INNER-CITY SUMO,[],[],,,,,3
1215,83,S00E13: Cutters [28 | 20] Backhanders,335,Alan Partridge's format ideas,MNK YT NN S,MONKEY TENNIS,[236],[],84,Cutters,,,4
1216,83,S00E13: Cutters [28 | 20] Backhanders,336,Orange Prize for Fiction-winning authors,LN LSHR VR,LIONEL SHRIVER,[237],[],84,Cutters,,,1
1217,83,S00E13: Cutters [28 | 20] Backhanders,336,Orange Prize for Fiction-winning authors,BR BRK NG SLVR,BARBARA KINGSOLVER,[238],[],85,Backhanders,,,2
1218,83,S00E13: Cutters [28 | 20] Backhanders,336,Orange Prize for Fiction-winning authors,N DRLV Y,ANDREA LEVY,[238],[],85,Backhanders,,,3
1219,83,S00E13: Cutters [28 | 20] Backhanders,336,Orange Prize for Fiction-winning authors,Z DSMT H,ZADIE SMITH,[238],[],85,Backhanders,,,4
1220,83,S00E13: Cutters [28 | 20] Backhanders,337,Famous wearers of swimsuits,BDR K,BO DEREK,[236],[],84,Cutters,,,1
1221,83,S00E13: Cutters [28 | 20] Backhanders,337,Famous wearers of swimsuits,BT TYG RB L,BETTY GRABLE,[],[],,,,,2
1222,84,S06E01: Joinees [26 | 27] Draughtsmen,338,Cleaning products,SCRN GP WDR,SCOURING POWDER,[240],[243],86,Joinees,87,Draughtsmen,1
1223,84,S06E01: Joinees [26 | 27] Draughtsmen,338,Cleaning products,S GRSP,SUGAR SOAP,[240],[],86,Joinees,,,2
1224,84,S06E01: Joinees [26 | 27] Draughtsmen,338,Cleaning products,W SHN GPL QD,WASHING-UP LIQUID,[240],[],86,Joinees,,,3
1225,84,S06E01: Joinees [26 | 27] Draughtsmen,338,Cleaning products,BLC H,BLEACH,[240],[],86,Joinees,,,4
1226,84,S06E01: Joinees [26 | 27] Draughtsmen,339,Hans Christian Andersen fables,TH MBL N,THUMBELINA,"[243,244]",[],87,Draughtsmen,,,1
1227,84,S06E01: Joinees [26 | 27] Draughtsmen,339,Hans Christian Andersen fables,THP RNCS SN DTH P,THE PRINCESS AND THE PEA,[240],[],86,Joinees,,,2
1228,84,S06E01: Joinees [26 | 27] Draughtsmen,339,Hans Christian Andersen fables,THM PR RS NWC LTHS,THE EMPEROR'S NEW CLOTHES,[243],[],87,Draughtsmen,,,3
1229,84,S06E01: Joinees [26 | 27] Draughtsmen,339,Hans Christian Andersen fables,THG LYD CKLN G,THE UGLY DUCKLING,[242],[],86,Joinees,,,4
1230,84,S06E01: Joinees [26 | 27] Draughtsmen,340,Crustaceans,VL VTC RB,VELVET CRAB,[243],[],87,Draughtsmen,,,1
1231,84,S06E01: Joinees [26 | 27] Draughtsmen,340,Crustaceans,W DLS,WOODLOUSE,[242],[243],86,Joinees,87,Draughtsmen,2
1232,84,S06E01: Joinees [26 | 27] Draughtsmen,340,Crustaceans,WT RFL,WATER FLEA,[240],[],86,Joinees,,,3
1233,84,S06E01: Joinees [26 | 27] Draughtsmen,340,Crustaceans,BRNC L,BARNACLE,[240],[],86,Joinees,,,4
1234,84,S06E01: Joinees [26 | 27] Draughtsmen,341,Colours,CH RT RS,CHARTREUSE,[244],[],87,Draughtsmen,,,1
1235,84,S06E01: Joinees [26 | 27] Draughtsmen,341,Colours,ZR,AZURE,[243],[],87,Draughtsmen,,,2
1236,84,S06E01: Joinees [26 | 27] Draughtsmen,341,Colours,HL TRP,HELIOTROPE,[244],[],87,Draughtsmen,,,3
1237,84,S06E01: Joinees [26 | 27] Draughtsmen,341,Colours,TTN,TITIAN,"[243,244]",[],87,Draughtsmen,,,4
1238,84,S06E01: Joinees [26 | 27] Draughtsmen,342,Biblical miracles,PR TN GFT HR DS,PARTING OF THE RED SEA,"[243,245]",[240],87,Draughtsmen,86,Joinees,1
1239,84,S06E01: Joinees [26 | 27] Draughtsmen,342,Biblical miracles,GD NSFL C,GIDEON'S FLEECE,[],"[243,244]",,,87,Draughtsmen,2
1240,84,S06E01: Joinees [26 | 27] Draughtsmen,342,Biblical miracles,RS NGF TB TH,RAISING OF TABITHA,[243],[],87,Draughtsmen,,,3
